Word,Definition
Absorber,"A material that takes in energy, such as light or heat."
Acceleration,The rate at which an object's velocity changes over time.
Accretion,The process of growth by accumulation of matter.
Acidic,"Having a pH less than 7, often sour and capable of reacting with bases."
Adaptation,A trait that helps an organism survive in its environment.
Aeration,"The process of adding air to a substance, such as soil or water."
Aerosol,"Tiny solid or liquid particles suspended in a gas, such as mist or smoke."
Alkali,A base that dissolves in water and has a pH greater than 7.
Alkaline,A substance with a pH greater than 7.
Alloy,"A mixture of two or more metals, or a metal and another element."
Alloying,Mixing metals to create a stronger material.
Amplitude,The maximum displacement of a wave from its resting position.
Anatomy,The study of the structure of living organisms.
Anion,A negatively charged ion.
Antibody,A protein in the immune system that helps fight infections.
Aphelion,The point in an orbit where a planet is farthest from the Sun.
Aqueous,A solution where water is the solvent.
Asteroid,"A small rocky body orbiting the Sun, mainly found in the asteroid belt."
Atmosphere,The layer of gases surrounding a planet.
Bacteria,Single-celled microorganisms that can be helpful or harmful.
Barometer,An instrument used to measure atmospheric pressure.
Battery,A device that stores and provides electrical energy.
Biodiversity,The variety of life in a particular ecosystem or on Earth.
Biome,"A large area of Earth with a specific climate, plants, and animals."
Biotic,Relating to living things in an ecosystem.
Buoyancy,The upward force that allows objects to float in a fluid.
Capillary,A tiny blood vessel that connects arteries and veins.
Catalyst,A substance that speeds up a chemical reaction without being used up.
Cellular,"Related to cells, the basic units of life."
Cellulose,A complex carbohydrate found in plant cell walls.
Circuit,A closed path that allows electricity to flow.
Circuitry,The interconnected electrical components in a system.
Cleavage,The tendency of minerals to break along flat surfaces.
Climate,The long-term pattern of weather conditions in an area.
Cohesion,The force that holds molecules of the same substance together.
Combustor,A device where fuel is burned for energy.
Compound,A substance made of two or more elements chemically combined.
Compression,The act of pressing or squeezing something into a smaller space.
Concavity,A curved shape that is hollow inward.
Conductor,A material that allows electricity or heat to pass through easily.
Conserve,To protect resources from being wasted or lost.
Continent,A large landmass on Earth's surface.
Convection,The transfer of heat by the movement of fluids (liquids or gases).
Corrosion,The gradual destruction of materials by chemical reactions.
Cratered,"Marked by circular depressions, often from impacts."
Crust,The outermost layer of the Earth.
Crustacea,A class of arthropods that includes crabs and lobsters.
Current,The flow of electric charge through a conductor.
Cytoplasm,The jelly-like substance inside a cell where chemical reactions happen.
Decoding,The process of interpreting information.
Density,The amount of mass in a given volume of a substance.
Diffusion,The movement of particles from an area of high concentration to low.
Digestion,The breakdown of food into smaller components.
Digestive,Related to the process of breaking down food for energy.
Disperse,To spread particles over a wide area.
Distilled,Purified by boiling and condensing vapor.
Dopamine,A neurotransmitter that affects mood and movement.
Doppler,Related to the change in frequency of a wave as the source moves.
Dormancy,A period when growth or activity stops temporarily.
Dynamics,The study of forces and motion.
Eclipsing,The blocking of light by one celestial body passing in front of another.
Ecology,The study of interactions between living things and their environment.
Ejectment,The act of forcefully expelling something.
Electrode,A conductor through which electricity enters or leaves a system.
Electron,A tiny particle with a negative charge found in atoms.
Element,A pure substance made of only one type of atom.
Elevation,"The height above a given level, usually sea level."
Enzyme,A protein that speeds up biochemical reactions.
Erosion,The process of wearing away soil and rock by wind or water.
Evaporation,The process of a liquid turning into a gas.
Excitonic,Relating to bound electron-hole pairs in semiconductors.
Fertility,The ability to produce offspring or grow crops.
Fertilizer,A substance added to soil to help plants grow.
Filament,"A thin thread-like structure, such as in light bulbs or biology."
Fluidity,The ability of a substance to flow.
Fossil,The remains or traces of ancient organisms preserved in rock.
Fossilize,To become preserved in rock over time.
Friction,A force that resists motion when two surfaces rub together.
Fungicide,A chemical that kills fungi.
Galaxy,"A massive system of stars, dust, and gas bound by gravity."
Galvanize,To coat metal with zinc or to excite into action.
Genetic,"Related to genes, the units of heredity in living organisms."
Genetics,The study of heredity and variation in organisms.
Geology,The study of Earth's physical structure and history.
Glacier,"A large, slow-moving mass of ice on land."
Glycerine,"A sweet, thick liquid used in medicines and cosmetics."
Gradient,"A rate of change in a property, such as temperature."
Gravitron,A theoretical particle that mediates gravity.
Gravity,The force that pulls objects toward each other.
Habitat,The natural home or environment of an organism.
Halogen,A group of reactive elements including fluorine and chlorine.
Halogens,A group of highly reactive elements in the periodic table.
Hardness,The resistance of a material to being scratched.
Hemoglobin,A protein in red blood cells that carries oxygen.
Hormone,A chemical messenger in the body that regulates functions.
Hormones,Chemical messengers in the body that regulate functions.
Hydrated,Containing water molecules.
Hydrogen,The lightest and most abundant element in the universe.
Hydrology,The study of water and its movement on Earth.
Hydrolysis,A chemical reaction involving water breaking down a substance.
Hypothesis,A testable explanation for an observation or experiment.
Igneous,A type of rock formed from cooled lava or magma.
Immunized,Made resistant to a disease by vaccination.
Inelastic,A material that does not return to its original shape after stretching.
Inertia,The tendency of an object to resist a change in motion.
Infrared,A type of electromagnetic radiation with longer wavelengths than visible light.
Insulator,A material that does not conduct electricity or heat well.
Isotope,Atoms of the same element with different numbers of neutrons.
Isotopes,Atoms of the same element with different numbers of neutrons.
Jetstream,A high-speed wind current in the atmosphere.
Kinematics,The study of motion without considering forces.
Kinetic,Related to motion or energy due to movement.
Kinetical,Relating to movement or motion.
Lava,Molten rock that erupts from a volcano.
Leukocyte,A white blood cell that fights infection.
Luminous,Emitting or reflecting light.
Magnetic,Having the ability to attract or repel certain metals.
Magnetism,The force exerted by magnets.
